release_date,CGN,brief_description,detailed_description,executor_type,executor_name,price_currency,customer_name,customer_type,bidding_agent
2023-08-25,CGN-202305240008,2023 г. - 7-й пункт контрольного набора новых источников энергии,7-й пункт 2-й контрольной серии 2023 года по новым энергоресурсам Китая и Китая,Консалтинговая компания по строительству электроэнергии,Консалтинговая компания по строительству энектроэнергии,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-09-13,CGN-202304110002,Результаты строительства в районе проекта CW,Контроль за строительством в районе проекта CW,Разработчик,China 's Engineering Management,юаня,Саенто,Приобретатель,Чайна инжиниринг лимитед
2023-06-15,CGN-202303200012,Объяснение результатов в блоке 5 и 6 LOT101G (приборы измерения неядерного трафика и переключатели),"Группа LOT101G проекта 5, 6 (измерительные приборы и переключатели для измерения трафика неядерного уровня)",Выпущенная компания,Не указано,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-09-22,CGN-20230704001,Результаты выверки дорожных клапанов в рамках проекта SK LOT45M,Регулирование дорожных клапанов рядом с машиной LOT45M в рамках проекта SK (номер тендера: CGN-20230704001) для определения значащихся участников проекта,Производитель,Halbin Telecom Corp.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-09-13,CGN-202307040012,2023 - 2024 гг. в матрице фотоэлектрических компонентов (4 шт),С 2023 по 2024 гг. матрица фотоэлектрических компонентов (4 шт),Компания,Восточный подъем,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-07-06,CGN-202306020006,"Проект по закупке электрического кабеля в рамках проекта 30 МВт ветровой электропередачи
Результаты",Проект по закупке электрического кабеля в рамках проекта 30 МВт ветряной связи в рамках проекта Сычуань (создание конкурса),Китай,Китайская гидроэнергетическая компания V,CNY,"Ветроэнергетика, Чайна",Участники торгов,Чайна инжиниринг лимитед
2023-01-30,CGN-20221129003,480 (МВт) 29 ветровых установок в Западном секторе,29 ветровых подвесок в западном секторе 480 (МВт),Покупатель,Мэриленд энд сервис,¥,China's Extended Energy,Участник,Чайна инжиниринг лимитед
2022-12-15,CGN-20221017002,Информация о результатах проекта по техническому обслуживанию и технической поддержке ядерной базы в Большом заливе,Проект частичного обслуживания и технической поддержки ядерной базы в заливе Бенгоа,Китай,Китайская ядерная промышленность,CNY,Ling Atom,Заявители,Чайна инжиниринг лимитед
2023-05-06,CGN-20230320003,"30,4 МВт ветроэнергетического проекта EPC","30,4 МВт рассредоточенного ветроэнергетического проекта EPC",Китай,"Китайская энергетическая корпорация, Северо-восточная электроэнергетическая компания II",¥,Четверка,Участники торгов,Чайна инжиниринг лимитед
2023-03-13,CGN-202208180001-N1,Компания Ляонин сообщила о результатах второго тендера на строительство и эксплуатацию системы беспроводной связи,2-й тендер на строительство и транспортировку системы беспроводной связи компании Беняонен 202208180001-N1,Производитель,China Mobile Communications Group,RMB,Ляонин Красный Поток,Покупатель,Чайна инжиниринг лимитед
2023-02-07,CGN-20221115005,Конкретная информация о результатах генерального подрядного проекта EPC Электроэнергия 30 МВт,30 МВт ветряного проекта EPC (заказ No CGN-2022115005),Китай,Китайская энергетическая корпорация по строительству северо-западной электроэнергетики Ганьсу,¥,Инжиниринг Ветер энтерпрайз,Участники торгов,Чайна инжиниринг лимитед
2023-06-05,CGN-202303240006,Проект строительства новой станции HLF,В рамках этого проекта HLF была проведена дополнительная работа на станциях,Китай,Китайская ядерная промышленность,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-10,CGN-202303160012,Закупка строительного проекта по ремонту бронзового трубы с электрическим охлаждением,Закупка строительного оборудования для охлаждения водяного охлаждения для определения проекта,Производитель,China Nuclear Industry 23 Building,RMB,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-02-03,CGN-20221115001,Китай и Китай (Пекин),Закупка посадочных самолетов компании Синьхуа (Пекин),Партнеры,Китайская ассоциация (Пекин),¥,China and China (Пекин),Участники торгов,Чайна инжиниринг лимитед
2022-12-23,CGN-20221010001,"Проект LOT150Ba DER Холодный комплекс
Циркуляр результатов",Проект LOT150Ba DER Холодный гидравлический блок (номер тендера: CGN-20221010001) для определения победителей проекта,Партнеры,Эверест электрик,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-11,CGN-20230320009,500 МВт ветроэнергетического проекта в Цинхай-Хэ-Хэ-Хэ-Холодном озере (показатель 2),500 МВт ветроэнергетического проекта на озере Бен Цинхайо (пункт 2),Производитель,Sandong Terek Electric Engineering Ltd.,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-06-30,CGN-20230419002,Урановая компания Beijing Hall East Project - Интеллектуальные закупки,Проект Уран в Beijing Сия-Восток - проект Интеллектуальные закупки,Проект,"Уран корпорейшн, Уран энтерпрайз в Пекине - проект Интеллектуальные закупки",CNY,Чайна инк.,Заявители,Чайна инжиниринг лимитед
2023-08-31,CGN-202307050020,"70 МВт проект комплементарности сельскохозяйственных фотоаппаратов в Чжэцзян-цзяне, Китай","PC-комплексный проект 70 МВт в Чжэцзян-цзяне, префектура Чжэцзян, Китай",Инвесторы,2-я строительная группа в провинции Хэнань,¥,Хинонэ,Участники торгов,Чайна инжиниринг лимитед
2023-08-25,CGN-202307030004,Синьцзян-Китайская энергетическая база Синьцзян-цзян-Уйгурского областного управления по мониторингу и оценке 1 млн кВт,"Контроль за проектом в области ветроэнергетики мощностью 1 млн кВт в Бачжоу, на базе Синьцзян-Китайского Синьцзяна",Консалтинговая фирма,Цзянсу,¥,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-08-09,CGN-20230620001,Проект CW 220 кВт строительная работа и проектирование первого маршрута вспомогательного питания,Проект 220 кВ в рамках проекта CW и проект топографической съемки первого маршрута для вспомогательных источников энергии,Производитель,Takeda Electric,CNY,Саенто,Приобретатель,Чайна инжиниринг лимитед
2023-08-24,CGN-202307050018,"1 млн. киловатт-радиостанций и генерального контракта на поставку ПК на магистральную электростанцию в Синьцзяне
Результаты проекта",1 млн. кВт-литровых установок и генерального контракта на поставку ПК на магистральной энергетической базе в Синьцзяне (торги),Победитель,China Electric Company,CNY,China Solar Successor,Участник,Чайна инжиниринг лимитед
2023-07-11,CGN-20230504007,"200 МВт ветряная дорожка, платформа, ветряная база и коробка в 2-м столбце","200 МВт трассы, платформы, основы ветровой машины и коробки 2-го сегмента фундаментальной инженерии (торги)",Инвесторы,компания с ограниченной ответственностью за установку электроэнергии из источника,CNY,5 новых источников энергии,Покупатель,Чайна инжиниринг лимитед
2023-07-28,CGN-202305310009,В 2023 году в Китае было собрано третье оборудование для замены коробок (второй пункт: горный массив Гуанси),Совместимая закупка оборудования для преобразования коробок в 2023 году (второй пункт: Гуанси-Хиллз),Производитель,Hansen Electronics Inc.,CNY,"Южно-Ветроэнергетическая компания, Гонконг, Китай",Участники торгов,Чайна инжиниринг лимитед
2023-01-03,CGN-20221027005,2022 г. - 6-я серия мониторинга и оценки результатов 2-й абзац,2-й пункт 6-го серийного контрольного набора новых энергетических ресурсов в рамках проекта 2022 года,Инвесторы,Санси юнион,¥,Синьхуа,Участники торгов,Чайна инжиниринг лимитед
2023-09-04,CGN-20230625005,Проект SK LOT140P,В данном проекте SK LOT140P механические сквозные элементы для определения участника проекта,Производитель,Sandong,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-03,CGN-20230509005,Результаты генерального подрядного проекта EPC по распределенному фотоэлектрическому заводу по очистке сточных вод в Цзянцзяне,Генеральный контрактный проект EPC по распределенной фотоэлектрической оптики на заводе по очистке сточных вод в бассейне реки Цзыцзян,Производитель,Hong Kong,¥,Интегрированная энергетическая служба,Участники торгов,Чайна инжиниринг лимитед
2023-05-12,CGN-20230317002,LF проект LOT190K - аутентификация результатов,Проект LOT190K LOT190K для определения промежуточного значения проекта,Производитель,Shanghai Renault,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-30,CGN-20230706006,"Синьцзян-Китайская энергетическая база в Синьцзян-цзян-Уйгурском автономном районе Бачжоу на 1 млн кВт трасс, платформ, ветряной базы",На базе Синьцзян-Китайского Синьцзян-Уцзян-Уйгурского автономного района Бачжоу 1 млн. кВт.,Внутренняя Монголия,группа,CNY,China and China New Energy Sound,Участники торгов,Чайна инжиниринг лимитед
2023-05-09,CGN-20230208003,Запасы отходов LOT130Ud для группы 5 и 6 Результаты гамма-наблюдения,"Устройство для мониторинга гамма-спектрометра в блоке LOT130Ud для отходов в рамках проекта Земля, No CGN-20230208003",Партнеры,Китайский институт автоматизации вооружения,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-27,CGN-2022111160006,"2PA морской ветроэнергетический центр на суше
Проект комбинированных антител",2PA морской ветровой электроэнергией в порту Бенедикто-гуанской области наземный центр управления трансформаторами давления и комбинированными антителами,Победитель,спецтрансформатор,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-12,CGN-20221207003-N2,Закупка (перезагрузка) экспериментального оборудования для стереотипов,Закупка экспериментального оборудования по модификациям (перезакупка),Инвентаризаторы,испытательное оборудование для средних самолетов ( Цзянсу ),CNY,Институт термотехники Сучжоу,Заявители,Чайна инжиниринг лимитед
2023-06-27,CGN-202304110006,В Китае и Монголии были объявлены результаты закупок сети данных по управлению перевозками УНИТА и системы защиты безопасности,Закупка сети данных по управлению перевозками УНИТА и системы защиты безопасности в Китае и Китае,Продюсер,Пекин Небо и Тинн,CNY,"Синьхуа, Коул",Участники торгов,Чайна инжиниринг лимитед
2023-08-02,CGN-20230626001,В докладе о технико-экономическом обосновании проекта 1000 МВт наземной ветровой электроэнергии в рамках новой энергетики Китая,Доклад о технико-экономическом обосновании проекта 1000 МВт наземной ветроэнергетики в новом энергетическом комплексе,Разработчик,China Electric Co. Ltd.,CNY,Ветроэнергетика (Уланчаб),Участники торгов,Чайна инжиниринг лимитед
,,,,,,,,,
2023-06-21,CGN-20230420002,Объяснение результатов на станковом оборудовании LOT20A группы LF проекта 5-6,Электрооборудование группы LOT20A по проекту LF 5-6 (номер тендера: CGN-20230420002) для определения промежуточного значения проекта,Компания,Hong Kong New Energy Engineering,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-31,CGN-202211240003,Проект LF LOT101Dc,В рамках проекта LOT101Dc Ядерная бака для определения победителей проекта,Производитель,Siemens Clean Energy,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-28,20221019002,Ремонтно-ремонтные работы на обычных островах и BOP 2023-2026,Проект по ремонту обычных островов и BOP на 2023-2026 гг.,Инспекции по проверке,Проект по ремонту обычных островов и BOP на 2023-2026 годы,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-18,CGN-202303140013,"1,4 млн. киловатт-экранов на базе Джиси, проект 2-1 (130 МВт)
Результаты","1,4 млн. киловатт-экрана проекта 2-1 (130 МВт) EPC на базе Бенджиси",Производитель,China Electric Co. Ltd.,CNY,Белая энергетика,Участники конкурса,Чайна инжиниринг лимитед
2023-08-01,CGN-202305180006,Результаты закупок интеграционной системы контроля,Закупка этой интегрированной системы управления (закупка тендерного проекта: CGN-202305180006) для определения медиана проекта следующим образом:,Проект,Закупка систем ДИ,CNY,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-06-19,CGN-20230329006,"Проект SK LOT150Ac(Ah) Ветряные клапаны системы ХАВК на ядерном острове
01_HVAC-система изолирует клапаны, регуляторные клапаны, клапаны и вентиляторы (LOT150Ac)","Проект LOT150Ac(Ah) Ядерный остров Ветровые клапаны системы ХВК ( Интегрированные клапаны , Регулирующие клапаны , клапаны и Ветер системы .
(LOT150Ac)",Ведущий,Компания Сицзян,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-19,CGN-20230329007,"Проект SK LOT150Ac(Ah) Ветряные клапаны системы ХАВК на ядерном острове
02_HVAC системы защиты от пожаров, клапанов для курения и торнадо (LOT150Ah)","Проект LOT150Ac(Ah) в рамках проекта Ядерный остров, Ветряные клапаны системы ХВАК ( Защитные клапаны , Клапаны и Дракон
(LOT150Ah)",Продюсер,южные ветряные компании,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-06,CGN-20230320005,"50 МВт ветряная станция, электротехника, 35кВ ветряная линия","50 МВт ветряная электростанция, электротехника, 35кВ ветряная линия",Компания,Синьцзяна,¥,China and China New Energy Shong Co.,Участники торгов,Чайна инжиниринг лимитед
2023-04-14,CGN-20230223001,50 МВт наземный ветроэнергетический проект Гуанцзян,Проект топографической съемки проекта Hong Kong 50 МВт в области наземного ветроэнергетики в провинции Гуанцзян,Китайский электростроительный блок,Пекинский институт геодезии,¥,Angrying New Energy Ltd.,Заказчик,Чайна инжиниринг лимитед
2023-08-25,CGN-20230710004,2023 - 2024 гг. в матрице ретрансформаторов (северный 2 маркер),Базовый набор ретрансформаторов для новых источников энергии с 2023 по 2024 гг. (северный 2 тендер),Производитель,Hyundai Electric Company,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-03-02,CGN-20230117001,Информация о результатах в проекте BJ по обеспечению готовности на море,Проект по обеспечению готовности на море в рамках проекта BJ Benjjang,Консалтинговая компания,Foxconn,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-11,CGN-202212080012,Проект подводного кабеля и повязки для морской ветроэнергетики ПА-2 в порту Вайчжоу,Подводный кабель и повязка для проекта морской ветроэнергетики 2PA порта Бенедикта,Партнеры,ZTE AG и Shanghai Singhua Engineering Ltd.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-29,CGN-202305240003,2023 г. - 2-й пункт контрольного набора новых источников энергии.,Второй пункт контрольного набора новых источников энергии 2023 года,Инжиниринговая компания,Шанси,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2022-12-28,CGN-20221009001,Объявлены результаты тендера на поставку строительных работ по проектному строительству первого и второго этапов проекта Энрики энд энд энтер,Закупка тендера на строительство твердых дорог для проекта 1 и 2,Производитель,China Construction Ltd.,CNY,Ветроэнергетическая компания Энси,Участник торгов,Чайна инжиниринг лимитед
2023-07-31,CGN-202305310002,В 2023 году была произведена совместная закупка 4-го кабеля (пункт 1: кабель Гуандун),В 2023 году будет произведена слияние четвертого кабеля (первый пункт: кабель Гуандуна),Производитель,China Tech,¥,Гуаньчжоу,Участники торгов,Чайна инжиниринг лимитед
2023-04-20,CGN-20230208001,Конфиденциальный конструктор проекта CW 1 и 2 LOT120C,Консерваторы LOT120C для группы CW по проектам 1 и 2 (номер тендера: CGN-20230208001) для определения медианы проекта,Производитель,"Easter Electric Group, Easter Co.",RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-12,CGN-20230227003,Проект BZ LOT150Bb (холодильная установка DEL),Проект BZ LOT150Bb(DEL Холодная водная группа) для определения промежуточного значения проекта,Победитель,Дон Хэмпшир (Китай) Промышленная компания,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-23,CGN-20230704005,"Синьцзян в 2023 году закупка основного оборудования для проекта «Синьцзян» (четвертый пункт: фотоэлектрический проект)
плодов",Совместимость закупок основного оборудования для проекта Синьцзяна в 2023 году (четвертый пункт: фотоэлектрический проект),Ведущий,Электротехника,CNY,China Solar Successor,Участник,Чайна инжиниринг лимитед
2023-06-21,CGN-20230427008,Проект SK LOT140J Ядерный остров,Проект по расширению электростанции на атомном острове LOT140Jc,Трейлеры,Лисика (Шанхай),RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-29,CGN-202305240004,2023 г. - 2-я серия мониторинговых и контрольных пунктов 3.,Третий абзац второго контрольного набора новых источников энергии в рамках проекта 2023 года,Инжиниринг,компания с ограниченной ответственностью,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-02-13,CGN-202209190009-N1,"ЦЕНТР &lt; &lt; Инвест &gt; &gt; , проект &lt; &lt; В &gt; &gt; , проект &lt; &lt; Установки &gt; &gt; , проект &lt; &lt; Установки &gt; &gt; , проект &lt; &lt; В &gt; &gt;","Проект &lt; &lt; Интенс &gt; &gt; , проект &lt; &lt; В &gt; &gt; , проект &lt; &lt; Устройство &gt; &gt; , проект &lt; &lt; Устройство &gt; &gt; , проект &lt; &lt; В &gt; &gt; , проект &lt; &lt; В &gt; &gt; , проект &lt; &lt; 500 кВ &gt; &gt; (переторг &gt; )",Производитель,Huawei Construction Engineering Ltd.,¥,&lt; &lt; Синьхуа &gt; &gt;,Участники торгов,Чайна инжиниринг лимитед
2023-06-29,CGN-20230410009,"Закупка защищенных шкафов для маломасштабной системы управления DCS на атомных электростанциях, а также внутренней обработки приложений (резон 02 - система управления DCS на атомных электростанциях)
Уровни безопасности в шкафах и внутренней обработке приложений (пункт 2)","Закупка шкафов безопасности DCS-системы малого проекта на атомной электростанции, а также внутренней переработки приложений (показатель 02_ проект DCS)
Закупки шкафов уровня безопасности системы контроля и внутренней обработки приложений (пункт 2) (номер тендера: CGN-20230410009)",Трейлеры,Синьцзян электрик,CNY,Хинли инжиниринг инжиниринг,Заявители,Чайна инжиниринг лимитед
2023-05-11,CGN-20230220005,100 МВт сельского хозяйства и фотоэлектрического проекта 110 кВ в префектуре Чжоу,"100 МВт в префектуре Бенедикт, проект 110 кВ по передаче электронно-электроэнергетического комплекса EPC",Цыпленок,компания с ограниченной ответственностью (группа),CNY,Cypriped Hornet,Ведущий,Чайна инжиниринг лимитед
2023-02-28,CGN-20221116002,LF-проект LOT63,"Проект LOT63 в рамках проекта LOT63 находится на закрытой материнской линии для определения того, кто является бенефициаром проекта.",Производитель,Beijing Electric Company,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-30,CGN-202212010004,"75 МВт / 300 МВт / 300 МВт / Синьцзян Синьцзян-Уйгурский энергетический порт с установкой 300 МВт
Объяснение результатов в первом пункте",75 МВт / 300 МВт в Синьцзян-Уйгурском энергетическом центре (Синьцзян-Уйгурский энергетический центр) - первый сегмент проекта по закупке башни с 300 МВт-энергетическими башнями.,Китай,Китайская гидроэнергетическая компания IV,¥,China and China New Energy Tori Ltd,Участник,Чайна инжиниринг лимитед
2023-06-13,CGN-202304240013,"260 МВт ветряная электростанция Джилинда Анджези, 260 МВт ветряная погрузка в 2-й участок",260 МВт ветряная установка 260 МВт для новой энергии в Китае,Покупатель,Китайская машиностроительная компания,CNY,Белая энергетика,Покупатель,Чайна инжиниринг лимитед
2023-04-13,CGN-202210260004-N1,Информация о результатах проекта Услуги по мониторингу окружающей среды при строительстве наземного оборудования (2023 - 2028 годы),Проект Услуги по мониторингу окружающей среды при строительстве наземной зоны в Бен-Сипине (2023 - 2028 годы) 202210260004-N1,Тест,Шэньчжэнь,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-25,CGN-20230215001,Результаты охлаждения реактора LOT120F в проекте CW,Насосы по охлаждению реактора LOT120F в рамках проекта CW,Производитель,Shanghai Electric Cessbie Atoms Co.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-05,CGN-20230518003,"50 МВт наземной ветровой электростанции в порту Гуанси и строительный проект по закупке электрической линии
Результаты",Закупка строительного проекта по строительству подъемных станций и сборочных линий на 50 МВт в южном горном горном массиве в порту Гуанси,Производитель,China Electric Company,CNY,"Южно-Ветроэнергетическая компания, Гонконг, Китай",Участники торгов,Чайна инжиниринг лимитед
2023-05-16,CGN-202303140004,Результаты покупки фотоаппаратного оборудования для топографического обзора,Закупка оборудования для фотоаппаратов на озерном озере Гуанчжоу,Производитель,Shanghai Electric Group,CNY,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-06-07,CGN-20230417001,Результаты проекта LF LOT120P (компонент реактора),Проект LOT120P (компонент реакторного реактора) для определения проекта,Ведущий,Компания AG,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-31,CGN-20221208002,"В 2022 году была произведена четвертая совместная закупка оборудования для компенсации неустойчивости (пункт 1: компенсационная компенсация за неустойчивость)
Показать результаты",В 2022 году Китай и Китай совместно закупили оборудование для компенсации за неустойку (пункт 1: Оборудование для компенсации за неустойчивость),Производитель,Sandong-Tek Electric,¥,China 's Extended Energy,Участник,Чайна инжиниринг лимитед
2023-09-13,CGN-20230717009,Если 1 млн кВт ветроэнергетического проекта 220 кВт и 220 кВт в процессе закупок ПК на линии,Закупка 220 кВ ветряной станции Бенгоа в размере 1 млн кВт,Китайский энергетический блок,Чжэцзян,CNY,China and China New Energy Trucks,Покупатель,Чайна инжиниринг лимитед
2022-12-15,CGN-202210210002,"P320+V2+ Платформа GREGSE: общая модификация системы, вентилятор MX для крыши
Пояснение результатов","Комплексная модификация системы GREGSE на платформе P320+V2+, вентилятор на крыше MX GB Реконструкция галереи и комплексная система обучения здания JH",Производитель,ZTE,"2 673 000,00",Фуджянинд энтерпрайз лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-08,CGN-20230310003,"Объекты LF 5, 6 LOT140Za (неRCC-M NI и сборные материалы)",Электронный блок LOT140Za (неRCC-M-монитор и сборные материалы),Производитель,Jiangsu Sun,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-30,CGN-202307050012,Financial Port B15 производственных комплектов для ремонта жилья,Финансовый порт B15 для производства комплектов для ремонта жилых помещений,Разработчик,Шэньчжэнь,¥,China 's New Energy Angeles Ltd.,Участник,Чайна инжиниринг лимитед
2023-04-14,CGN-202212010001,Строительные работы по ремонту Восточного центра,Строительные работы в Центре Света,Интерконсерваторы,Шэньчжэнь,CNY,Чайна инк.,Заявители,Чайна инжиниринг лимитед
2023-03-01,CGN-202301170012,"Конструкция зданий и помещений компании Хинси (реконструкция офисного здания и столовой)
Результаты",Проект по ремонту зданий и помещений компании Хинси (оконструкция офисного здания и столовой),Разработчик,Guangzy and Saxo,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-06-06,CGN-202304130011,Объяснение результатов в учебном комплексе симулятора LOT25B для проекта 5 и 6,Учебный комплекс симуляторов LOT25B для группы Сухопутный проект 5,Победитель,Beijing Gods's Sun,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-05-16,CGN-20230324005,Результаты проекта по переоборудованию конференц-зала 2701 в южном здании Японского комплекса,Проект по переоборудованию зала заседаний 2701 в южном здании этого здания,Разработчик,"Hyvison Technologies, Шэньчжэнь","3 008 413,10",компания с ограниченной ответственностью (Шэньчжэнь),Приглашенный,Чайна инжиниринг лимитед
2023-08-01,CGN-202303150014-N1,2-й конкурс на перестройку электрического тока в трансформаторе Gulfstream 1,2-й тендер на модификацию электрического датчика системы защиты электрического тока в заливе Бенгоа,Проект,2-й конкурс на перестройку датчиков электрического тока системы защиты блока 1 в Большом заливе,CNY,Гуандун атомный коммерсант лимитед,Заявители,Чайна инжиниринг лимитед
2023-01-30,CGN-20221020004,"100 МВт агропромышленного комплекса Чхонта, Китай","100 МВт агропромышленного комплекса Чхонта, проект EPC, проект Комплементарная фотоэлектрическая энергетика",Производитель,China Electric Co. Ltd.,¥,China's Nuclear (Winчан) New Energy Ltd,Участник,Чайна инжиниринг лимитед
2023-02-07,CGN-202209280012-N1,"480 МВт ветряная электростанция (Западный B округ)
(перенаправление предложений)","480 МВт (Западный Б-зон) Проект строительства дорог, платформ, ветров и коробок (перезагрузка)",Инжиниринг,2-я строительная корпорация развития,¥,China's Extended Energy,Участник,Чайна инжиниринг лимитед
2022-12-05,CGN-202208170001-N1,"Строительство линии связи 220 кВ в рамках проекта Уменьшить нищету, 2000 МВт Справа","Строительство линии связи 220kV в рамках проекта Наземный ветер, 2000 МВт, Справа, проект Внутренний флаг, проект Бенхен по сокращению масштабов нищеты",Провинция,Джилин,¥,"Синьхуа, Коул",Участники торгов,Чайна инжиниринг лимитед
2023-03-02,CGN-20221109004,Результаты коррективных ремонтных работ на обычном острове и в BOP,Ремонтно-эксплуатационные работы на обычных островах и BOP на атомных электростанциях в Бен-Пинлинге,Инспекции по проверке,Инспекции по проверке,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-05,CGN-20230309005,"Объяснение результатов в рамках проекта по приобретению стандартных устройств для измерения температур в лабораториях II (Электроника, давление, температура)","Закупка стандартных устройств для измерения температур в лаборатории II (электроника, давление, температура)",Проект,Shenian Chrypto,Средняя цена,Ляонин Красный Поток,Покупатель,Чайна инжиниринг лимитед
2023-05-10,CGN-202303200010,500 МВт ветроэнергетического проекта в озере Цинхай,500 МВт ветроэнергетического проекта на озере Бен Цинхайо (пункт 3),Производитель,Voice Energy Group,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-08-02,CGN-20230620003,125 МВт наземный ветровый проект по ремонту новой энергии Гуандун,125 МВт проект по техническому переоснащению ветряной техники в рамках проекта Сухопутная энергетика,Китайский совет по электроинженерии,Китайский совет по электроинженерии,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-04-12,20230208002,1-й этап работ по расширению трассы на юго-западной кольцевой дороге,"Циркуляр результатов
В рамках этого проекта были отобраны следующие кандидаты",Производитель,Hyong Construction Engineering Ltd.,CNY,Тайшань энтерпрайз,Заявители,Чайна инжиниринг лимитед
2023-01-31,CGN-20221026005,"Проекты SK 1 и 2 LOT130Ae
Циркуляр результатов",Контейнеры для основного хранения дизельных двигателей LOT130Ae для блока 1 и 2,Производитель,Zong Island Heroes,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2022-12-08,CGN-20220926002,12 МВт инвертор Эмерсона на Сите,12 МВт радиоэлектронной станции «Эмер»,Производитель,Solar Energy,¥,China Solar (China) Development Ltd,Участник,Чайна инжиниринг лимитед
2023-07-06,CGN-20230509003,В 2023 году была произведена вторая совместная закупка основного оборудования (пункт 1: Оборудование в Гуанси),В 2023 году будет произведена вторая совместная закупка основного оборудования (пункт 1: Оборудование в регионе Хинси),Победитель,Харбинская компания с ограниченной ответственностью,CNY,"Южно-Ветроэнергетическая компания, Гонконг, Китай",Участники торгов,Чайна инжиниринг лимитед
