location,product,tender_number,tender_name,tender_company,quantity,description,requirements,stages,delivery_time,start_date,end_date,product_cluster,location_cluster,detailed_cluster
"Хэйлунцзян, муниципалитет Хэйэя, 5 крупных городов",200 МВт инженерные работы в области наземного ветроэнергетики,CGN-202303280006-N1,,,,"В 2023 году была закуплена вторая по величине ветряная электроэнергия в Китае (Херонцзян, Хэйлунцзян и Мир).","К ним относятся:
топографические измерения: топографическая карта 1:500. 1:500 топографическая съемка.
Микропроектирование ветряной электростанции: представление отчетов о микроместах, удовлетворяющих требованиям глубины компании. Отчет должен включать в себя ветровые ресурсы, использование ветряных установок
Соответствующие анализы характера, чувствительности к локализации, объема производства электроэнергии и т.д., а также завершение базового проектирования дорог, линий электропередачи и строительных платформ,
На основе обеспечения рациональности, доступности и экономичности локомотивов для определения максимальных выгод от проекта.",3,"30 рабочих дней для микроскопического адреса, 35 рабочих дней для предварительного проекта, один месяц для завершения работ",после объявления конкурса на поставку ветряных двигателей,в течение одного месяца после завершения работ,2,8,0
"Гуанси-Шань, Стохэ, Пинъюн",распределенная фотоэлектрическая электростанция в Янгоне (перезаключение),CGN-202303060009-N1,,Энтерпрайз,,"Проект распределенной фотоэлектрической энергии в Янгоне расположен в районе Ленъюнь в городе Хинсибе, на расстоянии 600 метров от двух объектов общей площадью 54596m2, высота около 650 метров, в 37 км от Леннона, граничащий с коммуной, удобный транспорт, проектный участок площадью около 82 акра. В рамках проекта полностью используется фиксированный способ установки, а угол установки компонентов - оптимальный наклонение 17°. Всего в поле установлена двусторонняя монокристаллическая кремния 545Wp фотоэлектрический компонент 11088, 300 кВт блоки 15 инверторов, 1250 кВА коробки 2 и 2500 кВА 1. Проект Технологические программы по производству электроэнергии, фрагментам и сетям, в которых полностью вырабатывается энергия. Скорость проекта составляет 6,04 МВт, с 4,5 МВт с пропускной способностью 1,34.","Электронный контракт на проектные работы <<ЭПК>> включает, но не ограничивается: проектирование и строительство, оборудование, материалы, связанные с завершением проекта Закупка, транспортировка и управление материалами; подготовка и строительство всех инженерно-строительных работ; установка и отладка оборудования; все приемочные работы; передача и период гарантий Внутренний дизайн, закупки и строительные работы. 240 часов от начала работы до достижения полной пропускной способности станции и безопасности сети (включает Сетевые и инспектируемые процедуры и соглашения о контроле и контроле за перевозками, контроль качества проектов и т.д., а также расходы, связанные с этим процессом) Недостатки, эксплуатационные испытания, проверка эффективности системы, технические и послепродажные услуги, завершение всех работ, связанных с завершением приемки Проведение и покрытие соответствующих расходов (пожарная подготовка и приемка, проверка, оценка и инспектирование минной опасности, проверка безопасности труда и гигиены труда, электроснабжение Секторальный тест на сетевое тестирование и сетевое тестирование, безопасное завершение испытаний, регулирование мощности и проверка качества энергии (включая, но не ограничиваясь этим, контроль качества работы) Экспериментаторы сил, испытания неуправляемости, испытания способности к электрическому передвижению с низким давлением, испытания пропускной способности с высоким давлением, адаптационные (частоты, напряжение) испытания Оборудование УВЧ-диапазона, включающее инженерное переключение, которое должно быть передано Запасные части, специальные инструменты, марки для маркировки, расходные материалы и соответствующая техническая информация, закупка ограждений и строительство, переключение земли Количество, координация и компенсация в связи с экспроприацией и размещением питомников, а также вся координация после передачи объекта и т.д.","Работы запланированы на 30 апреля 2023 года, 30 мая 2023 года - на втором салоне, 30 мая 2023 года - на первом фотоэлектрическом корпусе, 30 июня 2023 года Перед тем, как сделать все возможное для производства электроэнергии. 61 календарный день строительного цикла, в зависимости от того, что было предписано Контролером, но общая дата На каждый день остается неизменным.",61,30.04.2023,30.06.2023,0,17,0
"провинция Гуйчжоу, муниципалитет Анхен, округ Хунглингбуйи",50 МВт ветряная дорога в Гуанцзяне,CGN-202306140013,,,,"Ветряная станция Гуанцзян, провинция Гуанчжоу, расположена в префектуре Гуанцзян, и предлагается установить около 10 ветряных машин мощностью 5 МВт. Коллекция с общей мощностью 50 МВт. Через два 35-килограммовых линий электропередачи на 35-кВ на вершине 220-кВ. В рамках конкурса были построены новые дороги, расширены дороги, подвесные платформы, ветряные подвески, ветры и ветры в провинции Гуанцзян. Инженерная база.","17,979 км дорог в рамках проекта строительства ветряной электростанции в провинции Гуанцзян, Китай, Новая энергетика, из которых 6,688 км были переоборудованы; 11,291 км новых дорог; 2) 10 станций по проектированию ветряной электростанции в Гуанцзяне, провинция Гуанчжоу, Китай; 3) Контенты, сосуды, стенки (включая защитные ноги на песчаном валах), дорожные постройки, амфибии и траншеи Промежуточные автодороги, неисправные платформы, заполнение каналов, дорожные знаки (при необходимости), дорожные заграждения (при необходимости), защитные заграждения, брошенные земли - вспомогательных работ; 4) Строительство 10 ветряных генераторов мощностью 5000 кВт, в том числе: выкачивание и перезаполнение грунта, сборка грунта а) разгрузка всех работ по грунтовому хозяйству, включая транспортировку, отопление и т.д.; 5) 10 коробок, включающих в себя все работы по раскопке и засыпке или замене грунта, погрузке и разгрузке грунта, переработке грунта и т.д. Горизонтальная инженерия; фундаментальные и фундаментальные работы, такие как замена коробки, матрицы коробки; коробка коробки до фонового участка фонового трубки копать; 6) взаимодействие на базе ветряной; 7) резервирование, предварительное захоронение и т.д. с установкой ветряной машины; 8) создание и установка базовых наблюдательных пунктов для наблюдения за осадками ветряных установок; 9) приемка, временное хранение, перегрузка и установка основных компонентов; 10) антикоррозионные переплеты между основными компонентами и базой; (11) Базовые компоненты ветряной машины обеспечиваются строительными единицами (но не включают в себя предварительные закладки базовых компонентов, предварительные закладки базовых компонентов производство и установка других компонентов; 12) Другие инженерно-строительные подразделения, которые должны включаться в этапы строительства ветроэлектроэнергии, строительства подвесных платформ, капитального строительства ветроустановок и т.д. - осуществление проектов, предоставление технических услуг, а также координация и сопровождение всех элементов работы, включенных в план строительства; (13) Ветроэлектростанция должна отвечать требованиям к перевозке таких крупногабаритных устройств, как ветряные машины, башни и т.д., и должна быть полностью построена в тех местах, где не соблюдаются условия перевозки а) ремонт; и . 14) Ветряные тягачи, перевозимые на ветряных электростанциях (включая подъездные дороги и внутренние дороги) ветряными машинами, башними трубами, основными переменными, коробками и т.д. В этом случае участники торгов должны рассмотреть предложение о проведении торгов. 15) Обеспечение экологичности во время строительных работ (включая очистку оползней, пыли на дорогах, временное озеленение и т.д.) Участники торгов должны рассмотреть предложение. 16) Все объекты и оборудование, установки и временные дороги, в том числе станции, перерабатывающие заводы и т.д. Подрядчик самостоятельно решает, в том числе в отношении выбора участка, экспроприации лесов, расчистки участка на более позднем этапе, восстановления растительности, охраны окружающей среды, аккумуляции и т.д. Работа, самооценка, включающая предложения. 17) Подрядчик должен принять участие в экспедиции и сносе объекта совместно с подрядчиком (в тендерной документации или контрактной документации было согласовано) За исключением тех случаев, когда подрядчик должен был самостоятельно решать вопросы, связанные с оформлением заказов, внешней координацией, координацией сопротивления и т.д. Работодатель проводит ежемесячную оценку и оценку, а подрядчику следует в полной мере учитывать и учитывать трудности и риски, связанные с координацией. и В качестве основания для претензий в связи с продолжительностью и ценой работы подрядчик не может быть. 18) Обследование на месте, отбор брошенных полей и их утверждение местными органами экологизации, водоснабжения и т.д. для строительства После удаления отходов необходимо принять необходимые меры по сохранению почв и по озеленению растений, а участники торгов, связанные с частичным покрытием, должны представить предложения на торгах. Рассмотреть. 19) В связи с тем, что строительство ненадлежащим образом привело к раскопке дорожных заграждений сверх проектной ширины, подрядчик берет на себя расходы на экспедицию за пределами комплекса. 20) В тех случаях, когда подрядчик несет ответственность за ремонт и совершенствование оборудования, материалов и т.д., когда это приводит к повреждению уезда и уезда. 21) Строительный процесс решается самостоятельно, когда речь идет о сносе выселенных домов, электрических стержней, асфальтах и других параллелих. 22) Надлежащая защита всех работ вдоль дорог в ходе строительства дорог, в случае ущерба, который должен быть полностью выполнен строительной стороной и надлежащим образом Решение. (23) Дорожные дороги, строительство платформ должно быть связано с близостью к Красной линии строительной диаграммы по просьбе местного лесного и территориального секторов Экологическая красная линия, основные сельскохозяйственные угодья или участки неиспользуемых лесных массивов должны быть строго контролируемы, если они не неизбежны по неподрядчику причинам. В случае захвата, строительная сторона должна немедленно принять соответствующие меры для исправления ситуации, может нанять третью сторону для обработки, с тем чтобы не допустить использования сверхкрасной линии. Что касается санкций со стороны правоохранительных органов, то участники торгов должны в полной мере учитывать их в предложении оферты. Подробнее см. технические нормы.","Основы ветряной машины, коробки - 117 календарных дней; Строительство дорог в ветряной электростанции, строительство платформы - 117 календарных дней.",117,01.08.2023,25.11.2023,2,5,0
"префектура Юньнань, чусуньский автономный округ, префектура Осаки","110 кВ ветряная станция, 35 кВ электропроводы и установки коробок",CGN-2022127002,,,,"Проект включает в себя все строительные работы, монтаж электрооборудования и монтаж электрооборудования на ветряной электростанции мощностью 78,6 МВт 110 кВ
Закупка оборудования и материалов, 78,6 МВт ветряной фермы 35 кВ и волоконно-оптические линии, 12
Установка 35kV коробки.
Подробная информация об объеме торгов содержится в технических спецификациях.",,"Воздушные станции: 151 календарный день.
2-литровая строительная станция
3-литровая крыша основного здания
4-литровая станция для завершения работы наружного оборудования
Дата завершения строительства дороги на 5 станциях
6-литровая станция электрооборудования
7-литровая установка электрооборудования
8-литровая станция с электрошоком
Кабельные перевязки: 140 календарных дней работы",,01.02.2023,31.05.2023,2,20,1
"Хубэй, Хуанган, округ Чун",проектирование проектных работ и проектирование проектных работ (запросы предложений),CGN-20221215001,,China New Energy Corp.,,"Размер проекта: станция улавливания гидроэнергии в провинции Хубэй находится на территории префектуры Дупи в префектуре Хуанган в провинции Хубэй, провинция Хубэй.
Расстояние города Хуанган и Ухань составляет около 20 км, 38 км и 70 км соответственно. После завершения строительства электростанции в основном берут на себя электрические пики в северной части озера.
Заполненные долины, резервные мощности, частоты, фазы и резервные миссии для аварий. Установка мощностью 298 МВт, установка 2 149 МВт
Обратная гидроаккумулирующая группа.","Этот конкурс охватывает все этапы съемки, проектирование и проектирование работ по проектированию и проектированию всей гидроэнергетической станции.
Исследовательская работа над обычными научно-исследовательскими и экспериментальными проектами, а также работа по созданию на месте службы в рамках всего процесса инженерного строительства в рамках настоящего конкурса.
Подробная информация об объеме торгов содержится в технических инструкциях.",,,,,0,4,0
"Хубэй, Хуанган, округ Чун",гидроэнергетическим заводом и строительством на склоне завода,CGN-20230419006,,Инк.,,"Хубэйский кипит гидроэнергетическую станцию, расположенную в префектуре Тупи в префектуре Хуанган в провинции Хубэй, округ Хубэй, примерно в 35 км от автомагистрали Дупи. Эта станция находится в 105 км от города Ухань и в 53 км от шоссе Хуангана, а также в центральной части Китая. станция метро Кроме того, провинция S241 обеспечивает доступ к водосборному водохранилищу, а между верхним и нижним водохранилищами имеются сельские дороги. Первоначальная емкость станции составляет 298 МВт и 168 м воды. Электростанции строятся главным образом для систем электропередачи и новых водохранилищ. Вэй Строительство водохранилища в Чжунцзяне, которое первоначально предусматривало нормальный уровень воды в 263 м, первоначальное общее регулирование емкости (по 6 ч) потребовало около 4,74 млн м3, а плотины использовали бетон. Деревянные дамбы. В водохранилище для использования существующего водохранилища по реке, который перехватывает водяные трещины с дождевой площадью 15,2 km2, общая емкость 24 млн. м3. Основными зданиями, построенными на узлах, являются водохранилища, водохранилища, системы водоснабжения, подземные сооружения и переключатели.","Содержание и сфера охвата данного тендера включают: 1) фабрика раскопается на склоне завода (раскопки грунта, раскопки камня, земляные работы, каменные слоты); 2) Установка на склоне завода (вокзал, палуба, букет, щелк, бетон, бетон, бетон, бетон, бетонный сетчаток) земля); 3) очистку цеха и дренаж (отверстие, сечение, дренаж, лошади и дренаж); 4) фабрики и фабрики, расположенные на склоне к фасаду (реконструкция на склоне на склоне); 5) нежелательная геологическая обработка в соответствии с фактическими условиями на месте (перезаполнение бетона); 6) Закупка, установка, период строительства и переходный мониторинг оборудования для мониторинга безопасности на фасаде (май 2023 - 2023) Ноябрь).",6,78,15.05.2023,31.07.2023,0,4,0
Гуандун; город Уичжоу; округ Уидон,электрического оборудования в АТЦПТ (третий тендер),CGN-202204240004-N2,,,,"Проект <<Ядерная энергетика>>, Китай, Хиросима, планирует построить 6 атомных реакторов на миллион кВт, использующих технологию трех поколений Группа (в том числе два проекта) расположена в городе Хуанъюань, округ Уидон, штат Вайтун.","Закупка, установка и ввод в эксплуатацию, основная техническая информация и требования подробно излагаются в Техническом регламенте закупок в рамках проекта. Закупка оборудования для проекта К ним относятся: Педагогические системы, конференционные системы, системы педагогической поддержки, системы мультимедиа в классных комнатах и т.д.",Установка и отладка всего оборудования (кроме многомедийной системы в классных комнатах) в течение трех месяцев после подписания контракта. Завершается работа системы мультимедиа в классных комнатах в течение шести месяцев после подписания контракта.,180 дней,Дата начала не указана,Дата окончания не указана,0,29,0
"Чжэцзян, Вэньчжоу",Услуги по фундаментальному тестированию (перезагрузка) в рамках проекта &lt; &lt; Чжэцзян &gt; &gt;,CGN-202301170011-N1,Глава I. Объявление тендера на предоставление услуг по фундаментальному тестированию (перезакупка) в рамках проекта Jiang BJ,Чжуннань энтерпрайз,,"Проект BJ в Чжэцзяне занимает площадь около 10,246 гектара, общая площадь здания составляет около 175 000 м2, в том числе около площади земли 121 000 м2, подземные здания площадью около 54 000 м2 (в следующем этаже), высота здания не превышает 55 м. Главная - 1 #-9 #башня, еда Зал, центр интерьера (11/12#), подвалы, террасы, мосты, спортивные площадки и т.д., а также для удовлетворения потребностей проекта Различные конструкции, объекты и оборудование, которые включены в строительную карту.","тендер на геоинфраструктурную экспертизу проекта Jiang BJ, которая включает: Базовое тестирование: криогенные (высокие) тесты на изменение, ультразвуковые тесты, статическая нагрузка, тесты на прочность, испытания на бурение и блоки C40 Конкретная сфера охвата и требования к тендерной документации и т.д.",апрель 2023 года - февраль 2025 года.,,01.04.2023,28.02.2025,2,26,0
"Шэньчжэнь, провинция Гуандун",оборудование для системы высоковольтного технологического процесса,CGN-202304270011,,,,"Проект находится в городе Шэньчжэнь, провинция Гуандун. В рамках этого проекта по закупке напряженные работы, необходимые для создания экспериментального оборудования
Конструкция, поставка и обслуживание тары для производственных систем.","Закупка 1 бетонного тары (контейнер с прикрытием), 1 водопроводного теплообменника 1 (U-образцовый теплообменник), 1 гидротермального теплообменника 2 (U-образцовая трубка)
Запасные части для термостатов, 1 газового стабилизатора азота (контейнеры) и 1 нагревателя и вышеназванного оборудования, включая вышеуказанное оборудование
Проектирование, изготовление, обеспечение качества, уборка и упаковка перед транспортировкой и транспортировка. Подробная информация содержится в технических инструкциях по закупкам.",1,6 месяцев,,,0,7,1
Гуандун; город Уичжоу; округ Уидон,оборудования для лабораторных приборов,CGN-20220819001-N1,,Чайна Хинэ,,"Проект предусматривает централизованные закупки оборудования для лабораторных приборов для ЦКЯО, а также централизованные закупки для компании << Чайна Хито >> ,
<< Ляонин >> , << Фуцзян >> , << Янцзян энтерпрайз лимитед >> , << Чайнан >>
Компания << Чайна Хино >> , объединенная с компанией << Чайна Хироси >> .",,,,,,0,29,1
Гуанси,Проект BT LOT130Ra фильтрации для замены оборудования для перевалки,CGN-20221107004,,Чайна инжиниринг лтд.,,Проект BT Гуанси.,"в данном тендерном проекте не проводится разграничения тендерных заявок на замену и перенос фильтров LOT130Ra
Модульное оборудование, а также запасные части, расходные материалы, специализированные инструменты, документы, услуги полевой поддержки, подготовка, упаковка, транспорт и т.д. Конкретно
Сфера охвата и требования о проведении торгов определяются в тендерной документации.",,30.09.2025,,,1,17,1
"Чунцин, Чунцин, округ","50 МВт наземный ветроэнергетический проект, модификация коробки и проект закупок дорожной инфраструктуры (перезаключение)",CGN-20230309002-N1,,,,"В рамках конкурса были построены новые дороги, расширены дороги, подвешенные платформы для ветровой электростанции 50 МВт в Чжунцине. Основы ветряной машины и коробки.","1.1 18,29 км дорог ветряной электростанции в рамках проекта строительства ветряного поля в Чжунцине; 1.2 10 стендов для проекта строительства ветряной электростанции в Чжунцине (A01-A10); 1.3 Более дорожных и платформовых проектных блоков, сосудов, стен (включая защитные ступни), дорожных постов, амфибий, строительство; 1.4 Строительство 10 ветряных генераторов; 1.5 Ветроприкладная работа; 1.6 резервирование, захоронение и т.д. на подземной чечевицы и трубы, оснащенные вентиляторами; 1.7 изготовление и установка и наблюдение базовых наблюдательных пунктов для наблюдения за осаждением ветров; 1.8 - разгрузка и инспектирования, временного хранения, вторичной перегрузки и установки, досмотра; 1.9 герметизация между клеткой и базой; 1.10 Ветряные клетки предоставляются строительными единицами; 1.11 Другие инженерные подразделения, меры, которые должны включаться на этапах строительства ветроэлектроэнергии, строительства подвесных платформ, капитального ремонта проект, технические услуги и все элементы работы, включенные в план координации и строительства.","Строительство основ ветряной машины и коробки - 114 календарных дней; Строительство дорог в ветряной электростанции, строительство платформы - 100 календарных дней.",114 календарных дней для основ ветряной машины и коробки; 100 календарных дней для строительства дорог и платформы.,23.06.2023,15.10.2023,2,26,0
"провинция Цзянсу, муниципалитет Саутонг",оборудование связи,CGN-20230605002,,Energy Ltd.,,в 2023 году была произведена первая совместная закупка оборудования связи.,"проектирование, производство, системная интеграция, полный набор систем связи для подъемных станций, системы управления перевозками и оборудования для вторичной защиты
Экспериментирование, упаковка, отправка, транспортировка и страхование, доставка, испытание оборудования, приемка оборудования, картография и предоставление информации
Техническая подготовка и т.д., включая, но не ограничиваясь этим, набор системных сообщений, сети данных управления перевозками и вторичную защищенность, которые не указаны в технических спецификациях.
Полнофункциональный комплект оборудования и комплект системного оборудования для подключения к работе, связанной с провинциальными модулями, и убедиться, что он проходит через электрическую сеть.","проект разделен на два пункта, соответственно
1-й пункт: проект в префектуре Сиси;
Второй пункт: проект Цзянсу.",30 июля (конкретное время поставки зависит от письменного уведомления департамента по проекту).,30.07.2023,,0,5,0
"провинция Джилин, Белый город, Гранд-Ан",2-1 (100 МВт фотоэлектрической тепловой связи) ЕПК,CGN-20230605007,,Дань,,"проект 2-1 (100 МВт фотоэлектрической энергии) на базе в Гизи; расположено на лошадях в городе Гранд-Ан, на южной стороне поля около 600 м. Строительство: башня фотоэлектрическая станция с емкостью 100 МВт и установка плавильного электрогаза для поглощения ветряной фотоэлектрической энергии, Продолжительность нагрева составляет 8 часов.","Электронный контракт (за исключением участника торгов), включая, в частности: 1) Все измерения, детальная съемка, топографическая съемка, термическая зона, электрическая зона, фотоэлектрическая станция и точка доступа к кабелям фотоэлектрической станции пробные свалки (без дневной части), проектирование, закупки, производство, инспектирование оборудования (негабаритное оборудование), транспортировка (включая вторичную перегрузку), строительство строительство, сборка, установка, проверка и обнаружение, защита готовой продукции, обеспечение сохранности, безопасность на заводе, топографическая съемка; 2) Отладка (включая однократные испытания, субсистемные испытания), загрузка комплекта блока (включая пробу на воздушной нагрузке, пробную нагрузку, полноту) b) приемка, приемка, утечка, профессиональная подготовка, общие эксплуатационные испытания, специализированные приемы; 3) законное соблюдение требований (подробнее см. в технических спецификациях); 4) Проектирование услуг, закупки и строительные работы в течение периода гарантийного покрытия, а также передача запасных частей, специальных работ, необходимых для подготовки к производству Поставка оборудования, расходных материалов и соответствующей технической информации. Основное технологическое оборудование должно иметь не менее 25 лет эксплуатации.",Строительство запланировано на 15 июля 2023 года; дата работы: 31 декабря 2024 года; общая продолжительность работы 19 месяцев.,,15.07.2023,31.12.2024,2,11,0
Гуандун,атомные подвески класса LOT140Jh для крупного хранилища материалов проекта,CGN-202306070010,,Чайна Хинси,,создание крупного хранилища материалов в рамках проекта AD.,"данный тендерный проект не делится на сегменты тендера, которые будут включать в себя: S1, S2-подкладки, подвески
Устройства и соединения и т.д., связанные с упаковкой, транспортировкой, технологией, установкой, отладкой файлов, хранением и ежедневным техническим обслуживанием, установкой
услуги и поддержка. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,2024-10-30,,,1,2,1
"Пекин, Тойота",сбор фотоэлектрических компонентов,202307040010,,,,С 2023 по 2024 гг. были собраны матрицы фотоэлектрических компонентов.,"Оборудование, поставляемое в рамках этого тендера, имеет емкость 300 МВт для однокристаллического кремния с двойной флуоресценцией типа P, однополый фотоэлектрический компонент (обычный фотоэлектрический компонент) 660 Вт и выше, в то время как опционы опционов не должны быть не менее 660 Вт, а спинная мощность не учитывается в одном блоке. Температура, электрическое давление фотоэлектрической системы распространяется на 1500v, при положительном отклонении 0-5 Вт, длина кабеля длиной 300 мм, и участники торгов должны гарантировать один и тот же диапазон. Внешний размер компонента соответствует. В этом тендере установлена дополнительная емкость 300 МВт, которая соответствует требованиям, предъявляемым к вышеуказанным моделям. Участники торгов должны гарантировать, что поставка оборудования должна быть совершенно новой, развитой, зрелой, полной и надежной и технической экономической характеристикой. Совместимые технические стандарты.",7,,2023,2024,2,15,2
